2.8264  MSE 26360.6113, SSIM 0.0101
0 167.7694  MSE 32343.9375, SSIM 0.0303
10 159.7077  MSE 32843.6777, SSIM 0.0100
20 156.1718  MSE 31784.8203, SSIM 0.0191
30 1173.7444  MSE 31340.6973, SSIM 0.0267
40 1173.7444  MSE 31340.6973, SSIM 0.0267
50 1173.7444  MSE 31340.6973, SSIM 0.0267
60 1173.7444  MSE 31340.6973, SSIM 0.0267
70 1173.7444  MSE 31340.6973, SSIM 0.0267
80 1173.7444  MSE 31340.6973, SSIM 0.0267
90 1173.7444  MSE 31340.6973, SSIM 0.0267
100 1173.7444  MSE 31340.6973, SSIM 0.0267
110 1173.7444  MSE 31340.6973, SSIM 0.0267
120 1173.7444  MSE 31340.6973, SSIM 0.0267
130 1173.7444  MSE 31340.6973, SSIM 0.0267
140 1173.7444  MSE 31340.6973, SSIM 0.0267
150 1173.7444  MSE 31340.6973, SSIM 0.0267
160 1173.7444  MSE 31340.6973, SSIM 0.0267
170 1173.7444  MSE 31340.6973, SSIM 0.0267
180 1173.7444  MSE 31340.6973, SSIM 0.0267
190 1173.7444  MSE 31340.6973, SSIM 0.0267
0 36.5807  MSE 26739.4785, SSIM 0.0228
10 4.5108  MSE 27625.5508, SSIM -0.0063
20 2.2205  MSE 28898.9580, SSIM -0.0082
30 1.3085  MSE 28608.7510, SSIM -0.0143
40 0.7197  MSE 27757.0449, SSIM 0.0011
50 0.3964  MSE 27066.3906, SSIM 0.0095
60 0.2173  MSE 26946.3848, SSIM 0.0167
70 0.1266  MSE 26177.4805, SSIM 0.0558
80 0.0654  MSE 24875.5361, SSIM 0.0664
90 0.0378  MSE 24799.6719, SSIM 0.0781
100 0.0219  MSE 23028.2852, SSIM 0.1037
110 0.0134  MSE 21616.6582, SSIM 0.1207
120 0.0083  MSE 19240.1182, SSIM 0.1815
130 0.0054  MSE 16546.6025, SSIM 0.2414
140 0.0036  MSE 14413.5967, SSIM 0.3057
150 0.0026  MSE 12646.9990, SSIM 0.3662
160 0.0018  MSE 11382.9482, SSIM 0.4162
170 0.0014  MSE 9680.5205, SSIM 0.4681
180 0.0010  MSE 8468.8027, SSIM 0.5225
190 0.0008  MSE 7104.0889, SSIM 0.5790
0 204.5126  MSE 27202.0068, SSIM 0.0053
10 151.8652  MSE 26753.0088, SSIM 0.0240
20 147.5326  MSE 27103.9883, SSIM 0.0002
30 145.9050  MSE 27985.6621, SSIM 0.0091
40 144.9588  MSE 27039.0439, SSIM -0.0054
50 144.2385  MSE 27426.7354, SSIM 0.0148
60 143.8008  MSE 26755.3838, SSIM 0.0012
70 143.5220  MSE 27001.8906, SSIM 0.0022
80 143.2876  MSE 28181.0195, SSIM -0.0126
90 143.0687  MSE 28596.7246, SSIM -0.0019
100 142.8602  MSE 27137.8916, SSIM 0.0281
110 142.7015  MSE 27079.7939, SSIM 0.0031
120 142.5806  MSE 27437.3018, SSIM 0.0275
130 142.4688  MSE 27776.4043, SSIM 0.0119
140 142.3630  MSE 27716.3828, SSIM 0.0270
150 142.2658  MSE 26599.8672, SSIM 0.0164
160 142.1588  MSE 26992.0703, SSIM 0.0228
170 142.0537  MSE 28422.0674, SSIM -0.0024
180 141.9577  MSE 28148.5107, SSIM -0.0141
190 141.8540  MSE 27422.8291, SSIM 0.0140
0 33.3720  MSE 23427.2656, SSIM 0.0026
10 6.3470  MSE 22881.7207, SSIM 0.0176
20 3.1856  MSE 23910.0479, SSIM -0.0012
30 1.7166  MSE 23174.8115, SSIM 0.0176
40 0.9935  MSE 22849.8438, SSIM 0.0037
50 0.6090  MSE 22878.9170, SSIM 0.0032
60 0.3686  MSE 23424.5166, SSIM -0.0164
70 0.2268  MSE 23076.8857, SSIM 0.0007
80 0.1378  MSE 23430.6006, SSIM 0.0008
90 0.0812  MSE 22725.6387, SSIM 0.0331
100 0.0478  MSE 22103.1289, SSIM 0.0401
110 0.0295  MSE 20075.0137, SSIM 0.0463
120 0.0184  MSE 18440.4902, SSIM 0.0647
130 0.0107  MSE 16880.3633, SSIM 0.0959
140 0.0064  MSE 14661.0381, SSIM 0.1713
150 0.0039  MSE 11544.2998, SSIM 0.2580
160 0.0026  MSE 9816.4951, SSIM 0.3303
170 0.0016  MSE 7548.8447, SSIM 0.4493
180 0.0011  MSE 5810.1855, SSIM 0.5375
190 0.0007  MSE 4668.1670, SSIM 0.6063
0 187.5171  MSE 23460.7129, SSIM -0.0030
10 152.6577  MSE 23153.1074, SSIM 0.0259
20 150.1793  MSE 23318.0859, SSIM 0.0085
30 148.9444  MSE 23390.3486, SSIM -0.0044
40 148.1224  MSE 21988.6084, SSIM 0.0327
50 147.4408  MSE 22417.2422, SSIM 0.0050
60 146.9050  MSE 22913.1465, SSIM 0.0233
70 146.4705  MSE 22290.7148, SSIM 0.0018
80 146.0350  MSE 23173.6650, SSIM 0.0040
90 145.7809  MSE 22994.6348, SSIM 0.0095
100 145.5436  MSE 23665.4385, SSIM -0.0022
110 145.2660  MSE 22535.9111, SSIM 0.0123
120 145.0273  MSE 22736.8369, SSIM 0.0034
130 144.8223  MSE 22692.6768, SSIM 0.0179
140 144.6766  MSE 22951.2559, SSIM 0.0180
150 144.5139  MSE 22815.1592, SSIM 0.0008
160 144.3839  MSE 23437.1514, SSIM 0.0055
