2.8264  MSE 26360.6113, SSIM 0.0101
10 374.5163  MSE 31452.9609, SSIM 0.0177
20 374.5163  MSE 31452.9609, SSIM 0.0177
30 374.5163  MSE 31452.9609, SSIM 0.0177
40 374.5163  MSE 31452.9609, SSIM 0.0177
50 374.5163  MSE 31452.9609, SSIM 0.0177
60 374.5163  MSE 31452.9609, SSIM 0.0177
70 374.5163  MSE 31452.9609, SSIM 0.0177
80 374.5163  MSE 31452.9609, SSIM 0.0177
90 374.5163  MSE 31452.9609, SSIM 0.0177
100 374.5163  MSE 31452.9609, SSIM 0.0177
110 374.5163  MSE 31452.9609, SSIM 0.0177
120 374.5163  MSE 31452.9609, SSIM 0.0177
130 374.5163  MSE 31452.9609, SSIM 0.0177
140 374.5163  MSE 31452.9609, SSIM 0.0177
150 374.5163  MSE 31452.9609, SSIM 0.0177
160 374.5163  MSE 31452.9609, SSIM 0.0177
170 374.5163  MSE 31452.9609, SSIM 0.0177
180 374.5163  MSE 31452.9609, SSIM 0.0177
190 374.5163  MSE 31452.9609, SSIM 0.0177
0 164.9880  MSE 32790.7773, SSIM 0.0251
10 154.8282  MSE 31550.9668, SSIM 0.0179
20 701.4643  MSE 31376.5557, SSIM 0.0176
30 701.4643  MSE 31376.5557, SSIM 0.0176
40 701.4643  MSE 31376.5557, SSIM 0.0176
50 701.4643  MSE 31376.5557, SSIM 0.0176
60 701.4643  MSE 31376.5557, SSIM 0.0176
70 701.4643  MSE 31376.5557, SSIM 0.0176
80 701.4643  MSE 31376.5557, SSIM 0.0176
90 701.4643  MSE 31376.5557, SSIM 0.0176
100 701.4643  MSE 31376.5557, SSIM 0.0176
110 701.4643  MSE 31376.5557, SSIM 0.0176
120 701.4643  MSE 31376.5557, SSIM 0.0176
130 701.4643  MSE 31376.5557, SSIM 0.0176
140 701.4643  MSE 31376.5557, SSIM 0.0176
150 701.4643  MSE 31376.5557, SSIM 0.0176
160 701.4643  MSE 31376.5557, SSIM 0.0176
170 701.4643  MSE 31376.5557, SSIM 0.0176
180 701.4643  MSE 31376.5557, SSIM 0.0176
190 701.4643  MSE 31376.5557, SSIM 0.0176
0 110.0678  MSE 19767.3584, SSIM 0.0114
10 13.3320  MSE 20410.3408, SSIM 0.0031
20 4.6558  MSE 20313.8652, SSIM -0.0049
30 1.4860  MSE 20061.3408, SSIM 0.0005
40 0.4116  MSE 18855.5303, SSIM 0.0182
50 0.1308  MSE 17179.3496, SSIM 0.0266
60 0.0519  MSE 14163.8096, SSIM 0.0505
70 0.0232  MSE 11040.6875, SSIM 0.0999
80 0.0123  MSE 8795.5820, SSIM 0.1445
90 0.0065  MSE 6328.8574, SSIM 0.2076
100 0.0035  MSE 4609.4053, SSIM 0.2706
110 0.0021  MSE 3228.9355, SSIM 0.3354
120 0.0012  MSE 2228.6396, SSIM 0.4138
130 0.0007  MSE 1664.0039, SSIM 0.4848
140 0.0005  MSE 1150.9531, SSIM 0.5593
150 0.0003  MSE 838.7510, SSIM 0.6231
160 0.0002  MSE 593.0225, SSIM 0.6881
170 0.0001  MSE 411.6787, SSIM 0.7465
180 0.0001  MSE 269.9844, SSIM 0.8009
190 0.0001  MSE 151.0615, SSIM 0.8467
0 377.3077  MSE 20404.7129, SSIM 0.0088
10 270.3073  MSE 19339.9209, SSIM 0.0010
20 233.8749  MSE 19781.5332, SSIM 0.0080
30 223.7753  MSE 20024.9170, SSIM 0.0082
40 222.1057  MSE 19484.7158, SSIM 0.0200
50 220.3560  MSE 19773.4170, SSIM 0.0115
60 218.7000  MSE 19951.8252, SSIM -0.0022
70 217.1493  MSE 19897.6191, SSIM 0.0062
80 216.0139  MSE 19891.8037, SSIM 0.0011
90 214.2839  MSE 19426.3311, SSIM 0.0133
100 212.6009  MSE 19798.4385, SSIM 0.0113
110 211.5557  MSE 19317.2812, SSIM 0.0180
120 210.4313  MSE 19748.9424, SSIM 0.0049
130 209.1816  MSE 20360.9229, SSIM 0.0157
140 208.3792  MSE 19930.0146, SSIM 0.0105
150 207.3045  MSE 19246.2148, SSIM 0.0057
160 206.5512  MSE 20125.5840, SSIM 0.0116
170 205.9307  MSE 19485.6182, SSIM -0.0005
180 205.3018  MSE 20388.0645, SSIM -0.0035
190 204.4821  MSE 19389.6914, SSIM 0.0156
0 674.5297  MSE 21477.6094, SSIM 0.0389
10 1327.3344  MSE 21639.7559, SSIM 0.0001
20 1327.3344  MSE 21639.7559, SSIM 0.0001
30 1327.3344  MSE 21639.7559, SSIM 0.0001
40 1327.3344  MSE 21639.7559, SSIM 0.0001
50 1327.3344  MSE 21639.7559, SSIM 0.0001
60 1327.3344  MSE 21639.7559, SSIM 0.0001
70 1327.3344  MSE 21639.7559, SSIM 0.0001
80 1327.3344  MSE 21639.7559, SSIM 0.0001
90 1327.3344  MSE 21639.7559, SSIM 0.0001
100 1327.3344  MSE 21639.7559, SSIM 0.0001
110 1327.3344  MSE 21639.7559, SSIM 0.0001
120 1327.3344  MSE 21639.7559, SSIM 0.0001
130 1327.3344  MSE 21639.7559, SSIM 0.0001
140 1327.3344  MSE 21639.7559, SSIM 0.0001
150 1327.3344  MSE 21639.7559, SSIM 0.0001
160 1327.3344  MSE 21639.7559, SSIM 0.0001
170 1327.3344  MSE 21639.7559, SSIM 0.0001
180 1327.3344  MSE 21639.7559, SSIM 0.0001
190 1327.3344  MSE 21639.7559, SSIM 0.0001
0 307.2256  MSE 22444.4785, SSIM 0.0038
10 156.0140  MSE 21981.6279, SSIM 0.0015
20 146.9711  MSE 21311.6836, SSIM 0.0167
30 143.7793  MSE 22453.7373, SSIM -0.0202
40 142.3423  MSE 22057.7734, SSIM -0.0041
50 141.5664  MSE 21384.1465, SSIM 0.0186
60 140.9647  MSE 21077.9209, SSIM 0.0246
70 140.5286  MSE 21236.4463, SSIM 0.0067
80 140.2546  MSE 21853.0068, SSIM -0.0040
90 139.9969  MSE 22330.7324, SSIM -0.0141
100 139.7397  MSE 22063.9834, SSIM 0.0006
110 139.5074  MSE 21813.6025, SSIM -0.0033
120 139.3540  MSE 21219.6064, SSIM 0.0196
130 139.2275  MSE 21546.6953, SSIM 0.0095
140 139.0842  MSE 21481.8320, SSIM 0.0146
150 138.9691  MSE 21626.4023, SSIM 0.0093
160 138.8618  MSE 20949.1455, SSIM 0.0181
170 138.7621  MSE 21691.5371, SSIM 0.0019
180 138.6562  MSE 21249.1836, SSIM 0.0109
190 138.5804  MSE 21270.9580, SSIM 0.0068
0 73.2004  MSE 35944.6641, SSIM 0.0047
10 6.8896  MSE 36943.8926, SSIM 0.0123
20 2.6695  MSE 36197.7988, SSIM 0.0075
30 1.1779  MSE 34508.9824, SSIM 0.0220
40 0.5124  MSE 34575.0635, SSIM 0.0295
50 0.2198  MSE 35384.1436, SSIM -0.0022
60 0.0913  MSE 33814.5967, SSIM 0.0330
70 0.0460  MSE 31135.5225, SSIM 0.0907
80 0.0236  MSE 28541.8008, SSIM 0.1632
90 0.0132  MSE 26321.3145, SSIM 0.2086
100 0.0074  MSE 24040.6826, SSIM 0.2599
110 0.0042  MSE 21272.8369, SSIM 0.3112
120 0.0025  MSE 19900.7568, SSIM 0.3423
130 0.0016  MSE 18207.9648, SSIM 0.3863
140 0.0011  MSE 16242.7949, SSIM 0.4205
150 0.0007  MSE 14061.0352, SSIM 0.4589
160 0.0005  MSE 12768.8701, SSIM 0.4842
170 0.0004  MSE 10898.0576, SSIM 0.5217
180 0.0003  MSE 9174.0264, SSIM 0.5557
190 0.0002  MSE 8103.7178, SSIM 0.5829
0 251.7539  MSE 35574.8350, SSIM 0.0118
10 157.6588  MSE 35784.8262, SSIM -0.0007
20 148.3722  MSE 37004.6523, SSIM 0.0098
30 145.3715  MSE 35882.9287, SSIM 0.0039
40 143.7243  MSE 36302.6289, SSIM 0.0005
50 142.7351  MSE 35590.0293, SSIM -0.0129
60 142.0460  MSE 35877.5947, SSIM 0.0089
70 141.6598  MSE 35893.3779, SSIM 0.0118
80 141.2986  MSE 36066.7510, SSIM -0.0050
90 141.0416  MSE 35449.3369, SSIM 0.0143
100 140.7977  MSE 35699.0850, SSIM -0.0146
110 140.6443  MSE 35432.2422, SSIM 0.0154
120 140.4946  MSE 35386.6699, SSIM -0.0136
130 140.3186  MSE 36016.7432, SSIM -0.0181
140 140.1586  MSE 34398.3340, SSIM 0.0335
150 140.0424  MSE 35486.4541, SSIM 0.0008
160 139.9582  MSE 36116.6055, SSIM -0.0078
170 139.8599  MSE 36411.3477, SSIM 0.0005
180 139.7758  MSE 35669.8330, SSIM 0.0012
190 139.7022  MSE 36466.8643, SSIM 0.0037
0 323.8375  MSE 33057.4170, SSIM 0.0020
10 26.9834  MSE 33367.6318, SSIM 0.0132
20 12.7104  MSE 33837.9072, SSIM -0.0098
30 8.6951  MSE 33331.3760, SSIM 0.0034
40 4.9957  MSE 33439.9980, SSIM -0.0080
50 2.8624  MSE 32266.1357, SSIM -0.0026
60 2.1946  MSE 32362.7402, SSIM 0.0257
70 1.8743  MSE 31049.3906, SSIM 0.0326
80 1204.8020  MSE 32450.9941, SSIM 0.0262
90 1204.8020  MSE 32450.9941, SSIM 0.0262
100 1204.8020  MSE 32450.9941, SSIM 0.0262
110 1204.8020  MSE 32450.9941, SSIM 0.0262
120 1204.8020  MSE 32450.9941, SSIM 0.0262
130 1204.8020  MSE 32450.9941, SSIM 0.0262
140 1204.8020  MSE 32450.9941, SSIM 0.0262
150 1204.8020  MSE 32450.9941, SSIM 0.0262
160 1204.8020  MSE 32450.9941, SSIM 0.0262
170 1204.8020  MSE 32450.9941, SSIM 0.0262
180 1204.8020  MSE 32450.9941, SSIM 0.0262
190 1204.8020  MSE 32450.9941, SSIM 0.0262
0 388.3137  MSE 33104.4590, SSIM 0.0158
10 169.0582  MSE 32086.9385, SSIM 0.0071
20 151.4537  MSE 32053.5977, SSIM 0.0306
30 146.1717  MSE 33301.8467, SSIM 0.0148
40 144.1506  MSE 33016.1240, SSIM 0.0055
50 142.9172  MSE 32864.3652, SSIM 0.0096
60 142.1867  MSE 33114.8037, SSIM 0.0070
70 141.7021  MSE 34284.1104, SSIM -0.0092
80 140.6058  MSE 34154.0859, SSIM -0.0037
90 140.0589  MSE 34225.2559, SSIM -0.0016
100 139.6491  MSE 31686.2656, SSIM 0.0095
110 139.3489  MSE 33588.7617, SSIM 0.0079
120 139.1477  MSE 33157.4004, SSIM -0.0079
130 138.9596  MSE 31980.1055, SSIM 0.0229
140 138.7909  MSE 33030.1309, SSIM 0.0020
150 138.6501  MSE 33551.8408, SSIM 0.0250
160 138.5190  MSE 33549.6660, SSIM -0.0069
170 138.4130  MSE 32861.7285, SSIM 0.0049
180 138.3087  MSE 33875.4941, SSIM -0.0050
190 138.1444  MSE 31599.3135, SSIM 0.0243
0 191.7916  MSE 28050.3877, SSIM 0.0033
10 16.0534  MSE 29471.4346, SSIM -0.0054
20 8.5101  MSE 28192.6699, SSIM -0.0128
30 4.1300  MSE 28613.1924, SSIM -0.0001
40 2.9048  MSE 28466.3359, SSIM 0.0143
50 2.3978  MSE 27853.1797, SSIM 0.0332
60 2.1617  MSE 26598.2715, SSIM 0.0349
70 2.0557  MSE 25668.4238, SSIM 0.0345
80 2.0048  MSE 25583.9141, SSIM 0.0361
90 1.9835  MSE 25128.7627, SSIM 0.0499
100 1.9720  MSE 24840.6807, SSIM 0.0543
110 1.9644  MSE 25211.6289, SSIM 0.0532
120 1.9584  MSE 25400.4072, SSIM 0.0520
130 1.9543  MSE 25591.6514, SSIM 0.0519
140 1.9518  MSE 25213.3457, SSIM 0.0589
150 1.9503  MSE 25373.9307, SSIM 0.0490
160 1.9491  MSE 25950.8906, SSIM 0.0398
170 1.9481  MSE 26431.6377, SSIM 0.0327
180 1.9473  MSE 26324.3809, SSIM 0.0292
190 1.9466  MSE 26736.2930, SSIM 0.0253
0 280.0025  MSE 28862.8008, SSIM 0.0095
10 159.6575  MSE 28159.6562, SSIM 0.0100
20 150.8264  MSE 27654.5859, SSIM 0.0236
30 146.8888  MSE 28359.8164, SSIM -0.0021
40 144.7623  MSE 28454.1221, SSIM 0.0025
50 143.6789  MSE 27751.2275, SSIM 0.0121
60 142.9995  MSE 29202.8213, SSIM -0.0040
70 142.5841  MSE 29299.3223, SSIM -0.0004
80 142.2901  MSE 28580.0391, SSIM 0.0210
90 142.0647  MSE 28716.8926, SSIM 0.0032
100 141.8580  MSE 27796.5234, SSIM 0.0128
110 141.7034  MSE 28395.2324, SSIM 0.0210
120 141.5849  MSE 28353.7793, SSIM 0.0068
130 141.4989  MSE 27492.3008, SSIM 0.0035
140 141.3782  MSE 27915.5078, SSIM 0.0168
150 141.2634  MSE 28454.4238, SSIM -0.0070
160 141.1925  MSE 28643.5635, SSIM 0.0017
170 141.1134  MSE 28780.4043, SSIM -0.0013
180 141.0454  MSE 27377.0205, SSIM 0.0187
190 140.9767  MSE 27724.4326, SSIM 0.0239
0 753.0157  MSE 22714.5117, SSIM 0.0259
10 80.8292  MSE 23115.8516, SSIM 0.0085
20 68.0685  MSE 23336.0273, SSIM 0.0053
30 58.1349  MSE 23029.5879, SSIM -0.0054
40 53.0391  MSE 22253.9844, SSIM 0.0311
50 49.5069  MSE 22735.0967, SSIM -0.0051
60 44.1390  MSE 23112.8213, SSIM 0.0166
70 37.5644  MSE 23423.9102, SSIM 0.0116
80 33.9021  MSE 22060.6992, SSIM 0.0221
90 30.9508  MSE 23913.2207, SSIM -0.0053
100 27.1552  MSE 22486.1436, SSIM 0.0123
110 24.2927  MSE 22992.0068, SSIM 0.0360
120 22.5478  MSE 22543.1855, SSIM 0.0303
130 21.0661  MSE 23177.6641, SSIM 0.0288
140 19.8291  MSE 23975.6885, SSIM 0.0053
150 18.7492  MSE 23101.7568, SSIM 0.0166
160 17.7598  MSE 24094.9209, SSIM -0.0148
170 16.7129  MSE 23217.1631, SSIM 0.0145
180 15.6854  MSE 23437.9736, SSIM -0.0111
190 15.0872  MSE 22399.4111, SSIM 0.0166
0 335.5930  MSE 23039.5664, SSIM 0.0244
10 353.2794  MSE 23441.6875, SSIM -0.0043
20 353.2794  MSE 23441.6875, SSIM -0.0043
30 353.2794  MSE 23441.6875, SSIM -0.0043
40 353.2794  MSE 23441.6875, SSIM -0.0043
50 353.2794  MSE 23441.6875, SSIM -0.0043
60 353.2794  MSE 23441.6875, SSIM -0.0043
70 353.2794  MSE 23441.6875, SSIM -0.0043
80 353.2794  MSE 23441.6875, SSIM -0.0043
90 353.2794  MSE 23441.6875, SSIM -0.0043
100 353.2794  MSE 23441.6875, SSIM -0.0043
110 353.2794  MSE 23441.6875, SSIM -0.0043
120 353.2794  MSE 23441.6875, SSIM -0.0043
130 353.2794  MSE 23441.6875, SSIM -0.0043
140 353.2794  MSE 23441.6875, SSIM -0.0043
150 353.2794  MSE 23441.6875, SSIM -0.0043
160 353.2794  MSE 23441.6875, SSIM -0.0043
170 353.2794  MSE 23441.6875, SSIM -0.0043
180 353.2794  MSE 23441.6875, SSIM -0.0043
190 353.2794  MSE 23441.6875, SSIM -0.0043
0 257.9002  MSE 21004.4033, SSIM 0.0030
10 27.0426  MSE 20699.3896, SSIM 0.0078
20 7.7752  MSE 20444.1465, SSIM 0.0257
30 1.3982  MSE 20294.0205, SSIM 0.0128
40 0.3550  MSE 18391.6055, SSIM 0.0488
50 0.1126  MSE 13829.0928, SSIM 0.1357
60 0.0413  MSE 8732.7441, SSIM 0.2838
70 0.0178  MSE 5518.9395, SSIM 0.4072
80 0.0088  MSE 3469.4570, SSIM 0.5140
90 0.0048  MSE 2311.3877, SSIM 0.6044
100 0.0026  MSE 1439.9443, SSIM 0.7024
110 0.0014  MSE 886.6162, SSIM 0.7730
120 0.0009  MSE 576.7422, SSIM 0.8254
130 0.0005  MSE 360.2822, SSIM 0.8704
140 0.0003  MSE 217.5762, SSIM 0.9082
150 0.0002  MSE 136.3906, SSIM 0.9343
160 0.0001  MSE 86.8623, SSIM 0.9536
170 0.0001  MSE 53.2715, SSIM 0.9693
180 0.0000  MSE 33.8818, SSIM 0.9798
190 0.0000  MSE 20.9580, SSIM 0.9873
0 410.4177  MSE 20396.5967, SSIM 0.0020
10 181.5549  MSE 19422.3223, SSIM 0.0380
20 162.3463  MSE 20029.7832, SSIM 0.0155
30 155.8948  MSE 20686.3398, SSIM 0.0132
40 152.5358  MSE 20240.1377, SSIM 0.0114
50 151.1349  MSE 20306.3613, SSIM 0.0163
60 150.2694  MSE 20263.3281, SSIM 0.0086
70 149.6623  MSE 20052.1982, SSIM 0.0209
80 149.0317  MSE 19691.4287, SSIM 0.0268
90 148.6203  MSE 20423.4346, SSIM 0.0089
100 148.3137  MSE 20467.8438, SSIM 0.0080
110 148.0666  MSE 20966.0889, SSIM 0.0082
120 147.7889  MSE 19900.1191, SSIM 0.0201
130 147.6146  MSE 20387.2900, SSIM 0.0153
140 147.4768  MSE 20418.0020, SSIM 0.0128
150 147.3283  MSE 20600.8105, SSIM 0.0018
160 147.1826  MSE 20026.0889, SSIM 0.0127
170 147.0726  MSE 20466.5596, SSIM -0.0024
180 146.9735  MSE 20359.9697, SSIM 0.0088
190 146.8953  MSE 20566.7432, SSIM 0.0199
0 12.6356  MSE 28500.3848, SSIM 0.0072
10 1.7962  MSE 28834.1582, SSIM -0.0045
20 330.5960  MSE 74312.6348, SSIM 0.0032
30 330.5960  MSE 74312.6348, SSIM 0.0032
40 330.5960  MSE 74312.6348, SSIM 0.0032
50 330.5960  MSE 74312.6348, SSIM 0.0032
60 330.5960  MSE 74312.6348, SSIM 0.0032
70 330.5960  MSE 74312.6348, SSIM 0.0032
80 330.5960  MSE 74312.6348, SSIM 0.0032
90 330.5960  MSE 74312.6348, SSIM 0.0032
100 330.5960  MSE 74312.6348, SSIM 0.0032
110 330.5960  MSE 74312.6348, SSIM 0.0032
120 330.5960  MSE 74312.6348, SSIM 0.0032
130 330.5960  MSE 74312.6348, SSIM 0.0032
140 330.5960  MSE 74312.6348, SSIM 0.0032
150 330.5960  MSE 74312.6348, SSIM 0.0032
160 330.5960  MSE 74312.6348, SSIM 0.0032
170 330.5960  MSE 74312.6348, SSIM 0.0032
180 330.5960  MSE 74312.6348, SSIM 0.0032
190 330.5960  MSE 74312.6348, SSIM 0.0032
0 478.5734  MSE 28123.4551, SSIM 0.0173
10 1044.0335  MSE 27606.4404, SSIM 0.0123
20 1044.0335  MSE 27606.4404, SSIM 0.0123
30 1044.0335  MSE 27606.4404, SSIM 0.0123
40 1044.0335  MSE 27606.4404, SSIM 0.0123
50 1044.0335  MSE 27606.4404, SSIM 0.0123
60 1044.0335  MSE 27606.4404, SSIM 0.0123
70 1044.0335  MSE 27606.4404, SSIM 0.0123
80 1044.0335  MSE 27606.4404, SSIM 0.0123
90 1044.0335  MSE 27606.4404, SSIM 0.0123
100 1044.0335  MSE 27606.4404, SSIM 0.0123
110 1044.0335  MSE 27606.4404, SSIM 0.0123
120 1044.0335  MSE 27606.4404, SSIM 0.0123
130 1044.0335  MSE 27606.4404, SSIM 0.0123
140 1044.0335  MSE 27606.4404, SSIM 0.0123
150 1044.0335  MSE 27606.4404, SSIM 0.0123
160 1044.0335  MSE 27606.4404, SSIM 0.0123
170 1044.0335  MSE 27606.4404, SSIM 0.0123
180 1044.0335  MSE 27606.4404, SSIM 0.0123
190 1044.0335  MSE 27606.4404, SSIM 0.0123
0 45.8362  MSE 27095.5312, SSIM -0.0034
10 5.4455  MSE 27314.2295, SSIM 0.0168
20 2.7129  MSE 26364.2090, SSIM 0.0062
30 1.4832  MSE 27443.9199, SSIM 0.0059
40 0.9202  MSE 27079.5117, SSIM 0.0077
50 0.5874  MSE 26316.2979, SSIM 0.0320
60 0.3666  MSE 27220.7754, SSIM 0.0150
70 0.2301  MSE 27467.4258, SSIM -0.0161
80 0.1490  MSE 27069.6768, SSIM 0.0078
90 0.1032  MSE 26324.7666, SSIM 0.0312
100 0.0692  MSE 26086.3496, SSIM 0.0264
110 0.0413  MSE 24830.3926, SSIM 0.0284
120 0.0252  MSE 23197.9180, SSIM 0.0402
130 0.0152  MSE 21031.5986, SSIM 0.0786
140 0.0089  MSE 18617.1748, SSIM 0.1213
150 0.0052  MSE 15006.4854, SSIM 0.1816
160 0.0031  MSE 12199.7930, SSIM 0.2325
170 0.0018  MSE 9783.0234, SSIM 0.2991
180 0.0011  MSE 7177.0020, SSIM 0.3739
190 0.0007  MSE 5356.4629, SSIM 0.4484
0 202.0996  MSE 26976.6104, SSIM 0.0058
10 156.6954  MSE 27671.4775, SSIM -0.0036
20 153.8024  MSE 27357.8623, SSIM 0.0044
30 152.6559  MSE 27542.2461, SSIM 0.0101
40 151.9294  MSE 26789.6572, SSIM 0.0046
50 151.3225  MSE 26513.7100, SSIM 0.0087
60 150.7029  MSE 26363.3145, SSIM 0.0345
70 150.3070  MSE 27509.2256, SSIM -0.0062
80 149.8658  MSE 27241.8115, SSIM 0.0019
90 149.4888  MSE 27458.0908, SSIM 0.0162
100 149.1722  MSE 26951.8877, SSIM -0.0044
110 148.9305  MSE 27692.3457, SSIM 0.0123
120 148.7327  MSE 26675.4355, SSIM 0.0088
130 148.4973  MSE 26440.1016, SSIM 0.0138
140 148.3126  MSE 27024.1895, SSIM 0.0035
150 148.1480  MSE 27329.6738, SSIM -0.0007
160 147.9987  MSE 26372.6680, SSIM 0.0118
170 147.8902  MSE 26403.8789, SSIM 0.0086
180 147.7904  MSE 27088.2334, SSIM -0.0060
190 147.6853  MSE 27804.3838, SSIM -0.0051
0 95.3746  MSE 25184.2871, SSIM 0.0173
10 15.9979  MSE 25610.3896, SSIM 0.0199
20 5.8171  MSE 25801.9121, SSIM 0.0279
30 2.5620  MSE 24919.2070, SSIM 0.0418
40 1.0227  MSE 26324.5938, SSIM -0.0009
50 0.3927  MSE 26006.5771, SSIM 0.0102
60 0.1350  MSE 23289.9658, SSIM 0.0683
70 0.0551  MSE 22331.6035, SSIM 0.0834
80 0.0239  MSE 18766.4238, SSIM 0.1719
90 0.0114  MSE 13957.3604, SSIM 0.2975
100 0.0060  MSE 10070.8633, SSIM 0.4278
110 0.0032  MSE 6536.8887, SSIM 0.5654
120 0.0018  MSE 4367.8203, SSIM 0.6736
130 0.0010  MSE 2805.0303, SSIM 0.7743
140 0.0006  MSE 1544.5146, SSIM 0.8626
150 0.0003  MSE 1004.4014, SSIM 0.9152
160 0.0002  MSE 604.1943, SSIM 0.9451
170 0.0001  MSE 420.2080, SSIM 0.9629
180 0.0001  MSE 236.1797, SSIM 0.9777
190 0.0001  MSE 173.8516, SSIM 0.9843
0 248.4941  MSE 26403.4092, SSIM -0.0081
10 155.3711  MSE 25725.5879, SSIM 0.0055
20 150.6672  MSE 26436.6729, SSIM 0.0023
30 148.4090  MSE 26283.0713, SSIM -0.0113
40 147.0877  MSE 26243.7285, SSIM 0.0002
50 146.2059  MSE 26737.4844, SSIM -0.0068
60 145.5016  MSE 24900.4775, SSIM 0.0283
70 145.0137  MSE 25070.2520, SSIM 0.0268
80 144.6132  MSE 25876.9932, SSIM 0.0072
90 144.2704  MSE 26343.8604, SSIM 0.0056
100 143.8782  MSE 25929.0479, SSIM 0.0118
110 143.5488  MSE 25773.6211, SSIM 0.0059
120 143.2709  MSE 25895.2676, SSIM 0.0219
130 143.0400  MSE 25360.6260, SSIM 0.0168
140 142.8121  MSE 25457.1104, SSIM 0.0164
150 142.6183  MSE 26403.3369, SSIM 0.0062
160 142.4338  MSE 26764.6689, SSIM -0.0206
170 142.1754  MSE 25338.1738, SSIM 0.0115
180 141.9925  MSE 25704.2100, SSIM 0.0032
190 141.8594  MSE 25533.7559, SSIM 0.0045
0 64.2746  MSE 37878.3701, SSIM 0.0211
10 14.2201  MSE 39910.2305, SSIM -0.0143
20 8.9340  MSE 37348.5381, SSIM 0.0199
30 5.8884  MSE 38315.4727, SSIM 0.0136
40 4.2605  MSE 38469.9248, SSIM 0.0213
50 2.9088  MSE 38935.2930, SSIM -0.0085
60 1.9096  MSE 38510.2852, SSIM 0.0228
70 1.2871  MSE 38557.4951, SSIM 0.0123
80 0.8516  MSE 37544.3662, SSIM 0.0229
90 0.5741  MSE 38988.9189, SSIM 0.0000
100 0.4149  MSE 37556.8643, SSIM 0.0063
110 0.3102  MSE 39772.8857, SSIM 0.0012
120 0.2422  MSE 39706.4385, SSIM -0.0023
130 0.1831  MSE 38494.5693, SSIM -0.0001
140 0.1374  MSE 38324.6113, SSIM 0.0161
150 0.1022  MSE 37789.0605, SSIM 0.0213
160 0.0674  MSE 39046.1035, SSIM -0.0032
170 0.0498  MSE 38910.5332, SSIM 0.0200
180 0.0374  MSE 38642.3320, SSIM 0.0401
190 0.0281  MSE 38754.0273, SSIM 0.0318
0 241.4953  MSE 38654.1279, SSIM 0.0098
10 172.8410  MSE 37277.4004, SSIM 0.0102
20 168.9598  MSE 38654.8457, SSIM 0.0010
30 168.0427  MSE 38842.6787, SSIM -0.0024
40 165.8761  MSE 38310.7920, SSIM 0.0183
50 164.5238  MSE 38741.9072, SSIM -0.0258
60 163.4339  MSE 39270.6357, SSIM 0.0081
70 162.3198  MSE 38595.5742, SSIM -0.0073
80 160.9199  MSE 38216.7500, SSIM 0.0136
90 159.9007  MSE 37156.6133, SSIM 0.0204
100 159.1258  MSE 38372.6201, SSIM 0.0120
110 158.4096  MSE 37830.4326, SSIM -0.0000
120 157.6338  MSE 39038.5654, SSIM 0.0005
130 156.9617  MSE 37877.2139, SSIM 0.0133
140 156.4378  MSE 38144.7285, SSIM 0.0305
150 155.9052  MSE 37953.0469, SSIM 0.0214
160 155.5677  MSE 38763.1592, SSIM -0.0008
170 155.1835  MSE 38509.7090, SSIM 0.0299
180 154.8829  MSE 37769.3945, SSIM 0.0112
190 154.5854  MSE 38314.0605, SSIM 0.0008
0 130.7699  MSE 20706.3428, SSIM 0.0106
10 11.1197  MSE 20265.9619, SSIM -0.0034
20 4.4327  MSE 20718.4307, SSIM -0.0024
30 1.9035  MSE 20968.7607, SSIM 0.0068
40 0.7691  MSE 20252.1885, SSIM 0.0061
50 0.2859  MSE 18893.2451, SSIM 0.0209
60 0.1135  MSE 16916.7393, SSIM 0.0477
70 0.0453  MSE 14087.8867, SSIM 0.1083
80 0.0224  MSE 11423.4990, SSIM 0.1769
90 0.0116  MSE 8788.2510, SSIM 0.2784
100 0.0064  MSE 6366.4072, SSIM 0.3889
110 0.0038  MSE 4965.0840, SSIM 0.4707
120 0.0023  MSE 3711.3721, SSIM 0.5572
130 0.0015  MSE 2893.6777, SSIM 0.6235
140 0.0010  MSE 2198.4268, SSIM 0.6928
150 0.0006  MSE 1529.5488, SSIM 0.7568
160 0.0004  MSE 958.0977, SSIM 0.8257
170 0.0003  MSE 598.6152, SSIM 0.8728
180 0.0002  MSE 387.4102, SSIM 0.9102
190 0.0001  MSE 240.8740, SSIM 0.9395
0 778.9386  MSE 19749.1230, SSIM 0.0062
10 1035.8624  MSE 20076.8027, SSIM 0.0143
20 1035.8624  MSE 21004.8906, SSIM 0.0126
30 1035.8624  MSE 20345.8389, SSIM 0.0358
40 1035.8624  MSE 21272.9590, SSIM -0.0102
50 1035.8624  MSE 20578.9609, SSIM -0.0024
60 1035.8624  MSE 20305.1836, SSIM 0.0155
70 1035.8624  MSE 20488.4277, SSIM 0.0079
80 1035.8624  MSE 20030.4229, SSIM 0.0197
90 1035.8624  MSE 20179.0234, SSIM 0.0269
100 1035.8624  MSE 20373.3340, SSIM 0.0072
110 1035.8624  MSE 20614.3633, SSIM 0.0059
120 1035.8624  MSE 20389.7002, SSIM 0.0109
130 1035.8624  MSE 20833.9580, SSIM -0.0070
140 1035.8624  MSE 20450.1963, SSIM 0.0049
150 1035.8624  MSE 20702.0869, SSIM -0.0045
